crop,district,year,horizon_weeks,window_start,window_end,n_days,price_mean,price_std,price_min,price_max,price_trend,rolling_avg_7d_mean,rolling_avg_30d_mean,price_volatility_mean,temp_max_mean,temp_min_mean,temp_range_mean,rainfall_total,rainfall_mean,humidity_mean,evapotranspiration_total,windspeed_mean,yield_kg_ha,split
Turmeric,Erode,2016,4,2015-11-23,2016-01-18,33,9463.459595959595,439.91811112643893,8025.0,10064.0,10.592858734402839,9482.76406926407,9320.829124579124,519.1009817197972,,,,0.0,,,0.0,,7029.0,train
Turmeric,Erode,2016,8,2015-10-26,2015-12-21,37,9050.13963963964,651.6567910513351,8008.0,10064.0,49.044847479058085,8980.411196911198,8669.280930930929,491.46515455116224,,,,0.0,,,0.0,,7029.0,train
Turmeric,Erode,2016,12,2015-09-28,2015-11-23,31,8157.3387096774195,629.0611176864663,7243.5,9626.5,65.75040322580637,8059.732718894008,7783.4833333333345,337.6456234545483,,,,0.0,,,0.0,,7029.0,train
Turmeric,Erode,2017,4,2016-11-23,2017-01-18,33,7986.784343434342,209.58201859011888,7469.333333333333,8350.25,-8.359904188948285,7991.022005772004,8000.175084175084,405.17374552223447,,,,0.0,,,0.0,,7395.0,train
Turmeric,Erode,2017,8,2016-10-26,2016-12-21,29,8013.697126436782,296.8890283592483,7444.0,8995.0,10.916313628900022,8001.853858784894,7975.773563218391,431.9031785732421,,,,0.0,,,0.0,,7395.0,train
Turmeric,Erode,2017,12,2016-09-28,2016-11-23,30,7947.0055555555555,280.67836879846396,7444.0,8995.0,-6.752094920282064,7945.800396825396,7942.979722222222,460.90015339899105,,,,0.0,,,0.0,,7395.0,train
Turmeric,Erode,2018,4,2017-11-23,2018-01-18,37,7115.353603603605,152.87875375882305,6650.0,7443.0,-6.859412043622478,7127.484877734878,7140.431006006006,544.7332480821121,,,,0.0,,,0.0,,7473.0,train
Turmeric,Erode,2018,8,2017-10-26,2017-12-21,41,7239.036585365854,291.9428966048819,6400.0,8508.5,-5.856271777003417,7222.878339140534,7230.849457994579,579.0199491733848,,,,0.0,,,0.0,,7473.0,train
Turmeric,Erode,2018,12,2017-09-28,2017-11-23,35,7206.628571428571,373.2420233349847,6400.0,8508.5,13.28991596638657,7191.313605442177,7172.7626190476185,581.1120955057545,,,,0.0,,,0.0,,7473.0,train
Turmeric,Erode,2019,4,2018-11-23,2019-01-18,34,6461.857843137255,173.2907721753611,6068.25,6851.0,-8.515380697733612,6470.995098039216,6483.491830065359,487.6748256921551,,,,0.0,,,0.0,,7326.0,train
Turmeric,Erode,2019,8,2018-10-26,2018-12-21,35,6547.70761904762,198.9745080620717,6193.333333333333,7115.0,-7.071311858076462,6557.315578231292,6565.788333333334,500.81348059296414,,,,0.0,,,0.0,,7326.0,train
Turmeric,Erode,2019,12,2018-09-28,2018-11-23,31,6577.906451612904,270.47517345773025,5951.0,7249.5,2.5506451612902605,6580.51213517665,6557.817777777777,514.6120989039496,,,,0.0,,,0.0,,7326.0,train
Turmeric,Erode,2020,4,2019-11-23,2020-01-18,32,5924.921875,210.95144906088487,5330.25,6252.25,9.764754398826932,5940.266741071428,5934.045052083333,350.54038473075445,,,,0.0,,,0.0,,7236.0,train
Turmeric,Erode,2020,8,2019-10-26,2019-12-21,39,6036.775641025641,252.05356439700702,5330.25,6677.0,-14.24883603238865,6034.4633699633705,6059.344017094016,353.6582365901404,,,,0.0,,,0.0,,7236.0,train
Turmeric,Erode,2020,12,2019-09-28,2019-11-23,36,6203.131944444444,156.19931733561165,5912.0,6677.0,0.7648970398972167,6199.7609126984125,6199.663888888888,350.42044429859135,,,,0.0,,,0.0,,7236.0,train
Turmeric,Erode,2021,4,2020-11-23,2021-01-18,35,5410.667142857143,179.02730729221872,4893.0,5753.0,1.5270308123249186,5419.527482993198,5402.772015873015,313.80756541280374,,,,0.0,,,0.0,,7500.0,val
Turmeric,Erode,2021,8,2020-10-26,2020-12-21,35,5374.575238095238,241.0163054640352,4340.5,5617.25,1.7943697478991163,5387.83081632653,5390.0114920634915,305.1966875770412,,,,0.0,,,0.0,,7500.0,val
Turmeric,Erode,2021,12,2020-09-28,2020-11-23,34,5298.628921568627,239.11806803281198,4340.5,5617.25,0.4580723198370985,5323.011834733894,5350.325147058822,262.23684118629586,,,,0.0,,,0.0,,7500.0,val
Turmeric,Erode,2022,4,2021-11-23,2022-01-18,39,7086.131196581197,523.6629537175523,4968.0,7847.0,17.71848515519565,7120.650122100122,7081.611680911681,530.0416053497818,,,,0.0,,,0.0,,7616.0,val
Turmeric,Erode,2022,8,2021-10-26,2021-12-21,39,6780.5230769230775,514.6362906142396,4968.0,7782.75,19.121015519568136,6810.320634920634,6728.601310541311,508.58502610789907,,,,0.0,,,0.0,,7616.0,val
Turmeric,Erode,2022,12,2021-09-28,2021-11-23,35,6460.907142857143,266.71495329631983,5961.75,6928.0,19.675681605975786,6462.684489795919,6407.7283333333335,422.1559903862287,,,,0.0,,,0.0,,7616.0,val
Turmeric,Erode,2023,4,2022-11-23,2023-01-18,41,6281.102845528456,383.7185467548382,4541.0,7182.0,-1.80011614401859,6298.630720092915,6303.082750677508,535.7640670113058,,,,0.0,,,0.0,,7721.0,test
Turmeric,Erode,2023,8,2022-10-26,2022-12-21,42,6277.49246031746,371.3855328544482,4541.0,6732.0,-4.124807552062208,6315.787698412698,6321.552632275133,538.6028168153341,,,,0.0,,,0.0,,7721.0,test
Turmeric,Erode,2023,12,2022-09-28,2022-11-23,37,6300.396396396397,205.87833235570682,5846.6,6732.0,5.7967243559349395,6307.012741312743,6280.72554054054,528.9046500862398,,,,0.0,,,0.0,,7721.0,test
Turmeric,Erode,2024,4,2023-11-23,2024-01-18,38,10021.214473684211,1003.0880236927574,7046.0,11370.6,10.452834008097206,10144.477506265664,10271.93548245614,1077.862837861291,,,,0.0,,,0.0,,7634.0,test
Turmeric,Erode,2024,8,2023-10-26,2023-12-21,47,10140.70283687943,891.0070695832512,7046.0,11370.6,-2.8181236509404584,10294.688551165149,10352.29196217494,1110.2673266739994,,,,0.0,,,0.0,,7634.0,test
Turmeric,Erode,2024,12,2023-09-28,2023-11-23,39,10331.829914529912,631.0476189293684,8475.0,11234.0,-4.375067476383437,10356.278205128205,10457.323846153844,1031.2471130944655,,,,0.0,,,0.0,,7634.0,test
Tapioca,Salem,2017,4,2017-04-07,2017-06-02,32,1036.0,0.0,1036.0,1036.0,1.7405228406755414e-15,1036.0,1036.0,0.0,,,,0.0,,,0.0,,26243.0,train
Tapioca,Salem,2017,8,2017-03-10,2017-05-05,20,1036.0,0.0,1036.0,1036.0,-3.6937047292652194e-15,1036.0,1036.0,0.0,,,,0.0,,,0.0,,26243.0,train
Tapioca,Salem,2018,4,2018-04-07,2018-06-02,33,489.6969696969697,1.7407765595569784,480.0,490.0,-0.04010695187166209,510.6060606060606,670.4545454545456,165.14687844342686,,,,0.0,,,0.0,,26528.0,train
Tapioca,Salem,2019,12,2019-02-10,2019-04-07,33,261.2121212121212,50.35856281194737,220.0,340.0,4.137700534759358,251.21212121212122,235.09090909090907,13.089995206245563,,,,0.0,,,0.0,,26257.0,train
