date,forecasted_price,lower_ci,upper_ci
2024-06-19,14092.524026915265,13446.12022157204,14738.92783225849
2024-06-20,14409.039586978955,13620.134635788967,15197.944538168944
2024-06-21,14570.534037164407,13721.420665654836,15419.647408673978
2024-06-22,14603.119516320066,13700.273818716943,15505.96521392319
2024-06-23,14518.160803005396,13575.114900004908,15461.206706005883
2024-06-24,14440.21521808089,13450.108490969298,15430.321945192482
2024-06-25,14436.866471702113,13389.95645033169,15483.776493072535
2024-06-26,14460.224271209505,13360.971401344284,15559.477141074725
2024-06-27,14479.805616117706,13333.108980941714,15626.5022512937
2024-06-28,14485.978439521059,13295.13368983217,15676.823189209948
2024-06-29,14479.63767072922,13247.095788533406,15712.179552925034
2024-06-30,14472.596706164597,13199.087596939857,15746.105815389337
2024-07-01,14470.81449023118,13156.897020625715,15784.731959836645
2024-07-02,14472.285576271337,13119.085586636202,15825.485565906472
2024-07-03,14474.268923441596,13083.01571506589,15865.5221318173
2024-07-04,14475.121126446322,13046.978180866045,15903.264072026599
2024-07-05,14474.755178011019,13010.73046188031,15938.779894141728
2024-07-06,14474.132229419876,12975.050398517564,15973.214060322189
2024-07-07,14473.857714087115,12940.469519719125,16007.245908455105
2024-07-08,14473.922495880443,12906.961318435093,16040.883673325792
2024-07-09,14474.100851772564,12874.275687283243,16073.926016261885
2024-07-10,14474.202762601584,12842.187961676198,16106.21756352697
2024-07-11,14474.19250231297,12810.618351656944,16137.766652968996
2024-07-12,14474.140599509405,12779.593683684245,16168.687515334565
2024-07-13,14474.107722200886,12749.140431756467,16199.075012645306
2024-07-14,14474.106641610124,12719.244148573014,16228.969134647234
2024-07-15,14474.121118950845,12689.864185694621,16258.378052207068
2024-07-16,14474.132120417516,12660.958173378056,16287.306067456977
2024-07-17,14474.13342553271,12632.497171975254,16315.769679090165
2024-07-18,14474.129479324822,12604.464215314692,16343.79474333495
