year,crop,district,season,harvest_month,area_ha,production_tonnes,yield_kg_ha,yield_quintals_ha,avg_modal_price_per_qtl,cost_of_cultivation_per_ha,estimated_revenue_per_ha,estimated_profit_per_ha
2014,Turmeric,Erode,Kharif,February,24800,177000,7137,71.37,7377,85000,526496,441496
2015,Turmeric,Erode,Kharif,February,25200,182000,7222,72.22,7377,85000,532767,447767
2016,Turmeric,Erode,Kharif,February,23900,168000,7029,70.29,7377,85000,518529,433529
2017,Turmeric,Erode,Kharif,February,26100,193000,7395,73.95,7377,85000,545529,460529
2018,Turmeric,Erode,Kharif,February,27300,204000,7473,74.73,7377,85000,551283,466283
2019,Turmeric,Erode,Kharif,February,25800,189000,7326,73.26,7377,85000,540439,455439
2020,Turmeric,Erode,Kharif,February,24600,178000,7236,72.36,7377,85000,533800,448800
2021,Turmeric,Erode,Kharif,February,26800,201000,7500,75.0,7377,85000,553275,468275
2022,Turmeric,Erode,Kharif,February,28100,214000,7616,76.16,7377,85000,561832,476832
2023,Turmeric,Erode,Kharif,February,29400,227000,7721,77.21,7377,85000,569578,484578
2024,Turmeric,Erode,Kharif,February,27900,213000,7634,76.34,7377,85000,563160,478160
2016,Tapioca,Salem,Annual,June,17200,446000,25930,259.3,2670,55000,692331,637331
2017,Tapioca,Salem,Annual,June,18100,475000,26243,262.43,2670,55000,700688,645688
2018,Tapioca,Salem,Annual,June,19300,512000,26528,265.28,2670,55000,708298,653298
2019,Tapioca,Salem,Annual,June,18700,491000,26257,262.57,2670,55000,701062,646062
2020,Tapioca,Salem,Annual,June,17900,465000,25978,259.78,2670,55000,693613,638613
2021,Tapioca,Salem,Annual,June,18600,489000,26290,262.9,2670,55000,701943,646943
2022,Tapioca,Salem,Annual,June,19800,527000,26616,266.16,2670,55000,710647,655647
2023,Tapioca,Salem,Annual,June,20400,548000,26863,268.63,2670,55000,717242,662242
2024,Tapioca,Salem,Annual,June,19700,527000,26751,267.51,2670,55000,714252,659252
